step,train_loss,val_loss,learning_rate,step_time_ms,tokens_per_sec,data_time_ms,forward_backward_time_ms,optimizer_time_ms,cpu_memory_mb
35,3.9040958881378174,,7.714285714285714e-05,273.57889999984764,7485.957433124925,0.2868000010494143,262.29240000247955,10.99660000181757,474.1640625
36,3.8942365646362305,,7.928571428571427e-05,239.5451000193134,8549.538269974544,0.3307000151835382,233.3733000268694,5.838100012624636,474.0703125
37,3.8924880027770996,,8.142857142857142e-05,211.84730000095442,9667.340579704218,0.3294000052846968,205.8938999834936,5.621099990094081,474.0703125
38,3.8936867713928223,,8.357142857142857e-05,183.31100000068545,11172.27007649482,0.3077999863307923,179.2641000065487,3.7358000117819756,474.0703125
39,3.8143539428710938,,8.57142857142857e-05,226.65329999290407,9035.826965961305,0.2814999897964299,218.8601999951061,7.508299982873723,474.0703125
40,3.832031726837158,,8.785714285714285e-05,255.89729999774136,8003.210663098346,0.40190000436268747,250.34400000004098,5.148099997313693,474.0703125
41,3.783693552017212,,8.999999999999999e-05,211.7527000082191,9671.659440094541,0.2902999985963106,205.3416999988258,6.116899981861934,474.0703125
42,3.7548229694366455,,9.214285714285713e-05,218.838600005256,9358.495256096556,0.3184000088367611,209.73139998386614,8.785699988948181,474.046875
43,3.7284255027770996,,9.428571428571427e-05,220.62380000716075,9282.770036294944,0.3400999994482845,214.38900000066496,5.892099987249821,474.109375
44,3.6868960857391357,,9.642857142857142e-05,200.37129998672754,10221.02466838144,0.3834000090137124,189.66549998731352,10.318899992853403,474.0703125
